Place,,,,BirthYear,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
-,Зеленин Максим,,,1992,80.3,,,,,157.5,157.5,-165,-170,157.5,,,,-,
-,Дорожинский Роман,,,1991,80.6,-137.5,-137.5,-137.5,-137.5,85,85,90,97.5,97.5,,,,-,
-,Трунов Дмитрий,,,1988,81.15,,,,,115,115,122.5,-127.5,122.5,,,,-,
-,Кононенко Алексей,,,1992,82.2,,,,,160,160,165,-167.5,165,,,,-,
-,Леонов Евгений,,,1989,82.6,,,,,165,165,-172.5,172.5,172.5,,,,-,
-,Галяутдинов Марсель,,,1987,82.95,,,,,150,150,157.5,-162.5,157.5,,,,-,
-,Барышев Сергей,,,1982,82,,,,,-160,-160,-160,,-,,,,-,
-,Чайка Василий,,,1988,82.05,,,,,-165,-165,-165,-175,-,,,,-,
,,,,,,,,,,,,,,,,,,,
1,Зарембо Константин,,,1984,93,230,245,257.5,257.5,170,170,177.5,-180,177.5,250,265,-270,265,700
2,Никитенко Алексей,,,1996,91.95,235,245,255,255,135,135,142.5,150,150,255,270,-295,270,675
3,Рыбалов Антон,,,1986,89.95,170,185,190,190,195,195,205,215,215,180,200,205,205,610
4,Дунаев Владислав,,,1993,93,220,235,-240,235,165,165,-180,-180,165,200,-210,210,210,610
5,Щербаков Сергей,,,1992,91.95,195,210,-215,210,125,125,130,-135,130,210,-220,,210,550
6,Кузнецов Роман,,,1992,89,175,182.5,190,190,135,135,145,-150,145,180,190,200,200,535
7,Романов Кирилл,,,1994,89.4,180,190,200,200,115,115,125,-130,125,200,207.5,-212.5,207.5,532.5
8,Романов Григорий,,,1997,92.8,170,-180,-180,170,120,120,-125,125,125,190,200,205,205,500
9,Белов Алексей,,,1984,90.4,135,145,152.5,152.5,125,125,135,140,140,170,185,195,195,487.5
10,Адам Виталий,,,1991,85.1,150,160,165,165,110,110,120,125,125,170,180,190,190,480
11,Попов Роман,,,1987,87.7,160,-170,170,170,105,105,110,-115,110,190,200,-210,200,480
12,Касацкий Максим,,,1990,87.75,135,-150,-150,135,140,140,150,-157.5,150,170,190,-197.5,190,475
13,Стабредов Вадим,,,1978,90.05,150,160,170,170,100,100,105,-110,105,150,180,190,190,465
14,Житбаев Асилбек,,,1990,90.85,125,135,145,145,110,110,-120,-120,110,140,160,170,170,425
15,Горовой Сергей,,,1997,87.6,120,130,142.5,142.5,100,100,110,-115,110,140,150,-170,150,402.5
16,Устинов Никита,,,1999,88.2,-130,130,140,140,80,80,90,-95,90,140,150,160,160,390
-,Лекаренко Сергей,,,1989,86.4,,,,,130,130,-137.5,-137.5,130,,,,-,
-,Семьянов Алексей,,,1981,90.15,180,200,-215,200,-135,-135,,,,,,,-,
-,Дудунов Алексей,,,1989,90.95,,,,,195,195,200,-207.5,200,,,,-,
