26/06/2018,WPC POWER CLASSIC-Kg Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg), Squat  1, Squat  2, Squat  3, Squat  4,,Bench 1,Bench 2,Bench 3,Bench 4,,Deadlift 1,Deadlift 2,Deadlift 3,Deadlift 4,PL Total,Coeff Score,Age  & Coeff,Pl-Div-WtCl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIISIO Raimo FIN,49,M_M2_CR_WPC,118.9,125,250,262.5,270,,,165,170,175,,,225,232.5,237.5,,682.5,377.115375,419.7294124,2-M_M2_CR_WPC-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHALON Marc FRA master,40,M_M1_CR_WPC,99.7,100,-250,-262.5,262.5,,,145,160,-170,,,250,260,275,,697.5,405.979875,405.979875,1-M_M1_CR_WPC-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERMONEN Timo FIN master,40,M_M1_CR_WPC,97.9,100,287.5,-312.5,-312.5,,,,,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARTINEZ Daniel ESP master,43,M_M1_CR_WPC,105.8,110,340,-362.5,372.5,,,180,-192.5,,,,170,250,287.5,,840,478.128,492.949968,1-M_M1_CR_WPC-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENCZE Gabor HUN,40,M_M1_CR_WPC,121.8,125,300,320,-330,,,200,215,-220,,,310,327.5,-335,,862.5,473.555625,473.555625,1-M_M1_CR_WPC-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MURPHY Ciaran IRL,23,M_J_CR_WPC,104.3,110,260,275,-280,,,147.5,152.5,-175,,,250,270,280,,707.5,404.69,0,1-M_J_CR_WPC-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRASMEDER Nicholas GB,19,M_T3_CR_WPC,98.9,100,195,210,217.5,,,122.5,-127.5,127.5,,,200,217.5,227.5,,572.5,335.112875,0,1-M_T3_CR_WPC-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARTIN Tom GB,30,M_O_CR_WPC,99.6,100,360,-380,-380,,,190,200,205,,,370,400,-405,,965,561.9195,0,1-M_O_CR_WPC-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHMADOV Ramil AZE,30,M_O_CR_WPC,98.5,100,280,-300,300,,,185,195,200,,,300,315,325,,825,482.66625,0,2-M_O_CR_WPC-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INGROSSO Filippo ITA,33,M_O_CR_WPC,98.7,100,300,-325,-325,,,190,-200,-200,,,320,335,,,825,482.25375,0,3-M_O_CR_WPC-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTOS Paulo POR,29,M_O_CR_WPC,98.7,100,260,-280,280,,,180,190,197.5,,,280,300,-322.5,,777.5,454.487625,0,4-M_O_CR_WPC-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTEIRO Ricardo POR,31,M_O_CR_WPC,98.5,100,265,-275,275,,,160,170,-175,,,270,285,300,,745,435.86225,0,5-M_O_CR_WPC-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIMAN Adam GB,24,M_O_CR_WPC,99.3,100,280,300,-305,,,127.5,132.5,135,,,300,-317.5,,,735,428.54175,0,6-M_O_CR_WPC-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
