Name,State,Country,Division,BodyweightKg,WeightClassKg,BirthYear,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,BirthDate,Sex,Equipment,AgeRange
David Charnock,NW,,M-M2,104.80,105,,192.5,205.0,210.0,210.0,120.0,127.5,-135.0,127.5,210.0,230.0,-240.0,230.0,567.5,3,SBD,,M,Raw,49.5-58.5
Arther Cowley,,Scotland,M-M3,98.70,105,,-182.5,185.0,197.5,197.5,112.5,117.5,120.0,120.0,210.0,225.0,232.5,232.5,550.0,1,SBD,,M,Raw,59.5-68.5
Gary Grant,YNE,,M-M3,102.70,105,,175.0,190.0,-200.0,190.0,-100.0,-100.0,100.0,100.0,185.0,195.0,-210.0,195.0,485.0,2,SBD,,M,Raw,59.5-68.5
Adam Berry,EM,,M-M1,120.00,120,,275.0,295.0,307.5,307.5,155.0,165.0,170.0,170.0,255.0,270.0,285.0,285.0,762.5,1,SBD,,M,Raw,39.5-48.5
Derek Forsyth,,Scotland,M-M1,118.90,120,,235.0,250.0,257.5,257.5,162.5,-167.5,167.5,167.5,275.0,-295.0,-295.0,275.0,700.0,2,SBD,,M,Raw,39.5-48.5
Darren Greville,GL,,M-M2,119.20,120,,217.5,235.0,245.0,245.0,162.5,172.5,177.5,177.5,225.0,250.0,255.0,255.0,677.5,1,SBD,,M,Raw,49.5-58.5
Darren Goldsney,EM,,M-M2,117.30,120,,190.0,210.0,215.0,215.0,110.0,130.0,135.0,135.0,200.0,220.0,225.0,225.0,575.0,2,SBD,,M,Raw,49.5-58.5
Andy Rodney,EM,,M-M2,119.70,120,,200.0,220.0,230.0,230.0,142.5,152.5,160.0,160.0,120.0,-200.0,,120.0,510.0,3,SBD,,M,Raw,49.5-58.5
Paul Walker,,Scotland,M-M1,129.10,120+,,240.0,250.0,-260.0,250.0,160.0,-170.0,-170.0,160.0,240.0,255.0,-270.0,255.0,665.0,1,SBD,,M,Raw,39.5-48.5
Bob Sadler,,Wales,M-M2,134.30,120+,,215.0,225.0,235.0,235.0,120.0,127.5,135.0,135.0,-200.0,200.0,235.0,235.0,605.0,1,SBD,,M,Raw,49.5-58.5
Frank O Donnel,YNE,,M-M3,141.70,120+,,195.0,197.5,210.0,210.0,153.0,157.5,160.0,160.0,272.5,280.0,-286.0,280.0,650.0,1,SBD,,M,Raw,59.5-68.5
