WeightClassKg,Division,Sex,Name,BirthYear,BodyweightKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Equipment,Event
110,Open,M,Fenzl Andreas,1972,101.3,240.0,250.0,-260.0,250.0,250.0,6,Single-ply,D
125,Open,M,Köster Hans-Joachim,1969,110.1,270.0,285.0,290.0,290.0,290.0,1,Single-ply,D
125,Open,M,Zamzow Oliver,1978,110.4,260.0,280.0,-292.5,280.0,280.0,2,Single-ply,D
125,Open,M,Pflug Hendrik,1971,118.3,255.0,-272.5,272.5,272.5,272.5,3,Single-ply,D
125,Open,M,Stornfels Carsten,1970,110.5,240.0,270.0,-282.5,270.0,270.0,4,Single-ply,D
125,Open,M,Köllner Markus,1971,119.2,240.0,252.5,-257.5,252.5,252.5,5,Single-ply,D
125+,Open,M,Kondraschow Jewgenij,1983,133.9,265.0,305.0,-325.0,305.0,305.0,1,Single-ply,D
125+,Open,M,Haasler Kay,1971,138.9,282.5,302.5,-310.0,302.5,302.5,2,Single-ply,D
125+,Open,M,Fröhlich Daniel,1972,128.8,280.0,300.0,-305.0,300.0,300.0,3,Single-ply,D
125+,Open,M,Wilke Heiko,1970,131.3,265.0,277.5,282.5,282.5,282.5,4,Single-ply,D
60,Masters 1,M,Wunderlich Frank,1964,59.0,155.0,-166.0,166.0,166.0,166.0,1,Single-ply,D
67.5,Masters 1,M,Kubisch Frank,1962,66.9,200.0,210.0,217.5,217.5,217.5,1,Single-ply,D
67.5,Masters 1,M,Petzold Andreas,1960,66.0,200.0,216.0,-218.5,216.0,216.0,2,Single-ply,D
67.5,Masters 1,M,Kottusch Elmar,1962,66.8,205.0,212.5,-215.0,212.5,212.5,3,Single-ply,D
67.5,Masters 1,M,Schoennerstedt Frank,1966,67.4,182.5,192.5,-202.5,192.5,192.5,4,Single-ply,D
75,Masters 1,M,Müller Jörg,1966,74.5,252.5,262.5,-267.5,262.5,262.5,1,Single-ply,D
75,Masters 1,M,Marhoffer Thomas,1967,72.8,240.0,252.5,-260.0,252.5,252.5,2,Single-ply,D
75,Masters 1,M,Ehogharukomwen Sunday,1965,74.2,235.0,252.5,-265.0,252.5,252.5,3,Single-ply,D
75,Masters 1,M,Kulhawy Steffen,1963,74.4,200.0,215.0,-230.0,215.0,215.0,4,Single-ply,D
82.5,Masters 1,M,Geerhardt János,1967,79.0,225.0,237.5,240.0,240.0,240.0,1,Single-ply,D
82.5,Masters 1,M,Grunert Heiko,1968,82.1,215.0,225.0,232.5,232.5,232.5,2,Single-ply,D
82.5,Masters 1,M,Oehmichen Peter,1963,80.2,200.0,215.0,225.0,225.0,225.0,3,Single-ply,D
82.5,Masters 1,M,Hofmann Torsten,1966,81.1,180.0,205.0,217.5,217.5,217.5,4,Single-ply,D
90,Masters 1,M,Schnurr Mario,1966,88.5,270.0,292.5,-300.0,292.5,292.5,1,Single-ply,D
90,Masters 1,M,Hofmann Uwe,1966,88.6,250.0,260.0,265.0,265.0,265.0,2,Single-ply,D
90,Masters 1,M,Meier Guido,1966,89.4,240.0,250.0,-262.5,250.0,250.0,3,Single-ply,D
90,Masters 1,M,Quensel Fabrizio,1966,85.4,215.0,235.0,,235.0,235.0,4,Single-ply,D
90,Masters 1,M,Schatz Frank,1961,89.7,230.0,235.0,,235.0,235.0,5,Single-ply,D
90,Masters 1,M,Meurer Olaf,1965,88.3,205.0,220.0,-230.0,220.0,220.0,6,Single-ply,D
100,Masters 1,M,Speer Jan,1967,99.4,-260.0,265.0,-275.0,265.0,265.0,1,Single-ply,D
100,Masters 1,M,Mainka Torsten,1965,93.9,242.5,260.0,-265.0,260.0,260.0,2,Single-ply,D
100,Masters 1,M,Schulze Frank,1961,94.2,190.0,205.0,220.0,220.0,220.0,3,Single-ply,D
110,Masters 1,M,Brandlmeier Rainer,1964,105.4,275.0,285.0,287.5,287.5,287.5,1,Single-ply,D
110,Masters 1,M,Grießl Josef,1967,100.6,260.0,275.0,285.0,285.0,285.0,2,Single-ply,D
110,Masters 1,M,Bergmann Michael,1963,104.4,237.5,247.5,255.0,255.0,255.0,3,Single-ply,D
110,Masters 1,M,Verhoff Martin,1963,102.3,230.0,250.0,-257.5,250.0,250.0,4,Single-ply,D
110,Masters 1,M,Mothes Steffen,1960,108.0,240.0,250.0,-260.0,250.0,250.0,5,Single-ply,D
125,Masters 1,M,Sendatzki Boris,1968,121.9,230.0,-250.0,250.0,250.0,250.0,1,Single-ply,D
125+,Masters 1,M,Girrulat Frank,1959,132.5,275.0,285.0,292.5,292.5,292.5,1,Single-ply,D
125+,Masters 1,M,Schmugge Olaf,1965,127.8,230.0,240.0,,240.0,240.0,2,Single-ply,D
67.5,Masters 2,M,Wagner Werner,1949,67.0,150.0,160.0,167.5,167.5,167.5,1,Single-ply,D
67.5,Masters 2,M,Dziergwa Jürgen,1958,66.7,140.0,150.0,165.0,165.0,165.0,2,Single-ply,D
67.5,Masters 2,M,Wickel Hans-Georg,1952,63.9,130.0,140.0,147.5,147.5,147.5,3,Single-ply,D
75,Masters 2,M,Ramsey Michael,1958,74.9,212.5,220.0,227.5,227.5,227.5,1,Single-ply,D
75,Masters 2,M,Goldstein Johann,1957,73.5,192.5,202.5,-220.0,202.5,202.5,2,Single-ply,D
75,Masters 2,M,Panitzsch Jörg,1954,68.4,180.0,190.0,-195.0,190.0,190.0,3,Single-ply,D
75,Masters 2,M,Berndt Rudolf,1953,72.7,130.0,140.0,145.0,145.0,145.0,4,Single-ply,D
82.5,Masters 2,M,Dieter Wolf,1954,82.1,180.0,195.0,202.5,202.5,202.5,1,Single-ply,D
82.5,Masters 2,M,Kühne Hendrik,1955,81.6,185.0,-200.0,200.0,200.0,200.0,2,Single-ply,D
82.5,Masters 2,M,Kuhnert Arndt,1958,81.0,170.0,190.0,-195.0,190.0,190.0,3,Single-ply,D
