Name,Age,Division,Sex,BodyweightLBS,WeightClassLBS,Equipment,Squat1LBS,Squat2LBS,Squat3LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Best3DeadliftKg,TotalLBS,Event,Place
Garth Heckman,,M-EM2,M,272,275,Multi-ply,-675,705,765,765,500,535,565,565,315,-320,-320,315,1645,SBD,2
Michael Gray,,M-EM2,M,265.2,275,Multi-ply,505,555,600,600,375,400,-430,400,455,475,505,505,1505,SBD,3
Jerome Cook,,M-EM1,M,206.8,220,Multi-ply,-525,525,-610,525,455,485,515,515,-505,505,-535,505,1545,SBD,1
Clark Yeo,,M-ESub,M,164.4,165,Multi-ply,-265,265,-285,265,-195,195,-215,195,175,185,190,190,650,SBD,1
Richard Brown,,M-ESub,M,305,308,Multi-ply,405,435,455,455,315,345,355,355,505,565,600,600,1410,SBD,1
Marc Tejero,,M-EO,M,147,148,Multi-ply,700,-720,-720,700,400,430,-450,430,570,-590,590,590,1720,SBD,1
Brian Schwab,,M-EO,M,160.4,165,Multi-ply,735,-775,-775,735,565,-585,-585,565,545,585,-600,585,1885,SBD,1
Wes McCormick,,M-EO,M,165.2,165,Multi-ply,-675,675,-800,675,425,455,-500,455,505,545,-560,545,1675,SBD,2
Miguel Guillen,,M-EO,M,162,165,Multi-ply,540,600,-630,600,420,460,500,500,500,-550,-550,500,1600,SBD,3
Brandon Crabill,,M-EO,M,180.2,181,Multi-ply,-675,-675,-675,,-535,,,,635,,,,,SBD,DQ
Jordan Crespi,,M-EO,M,196.4,198,Multi-ply,-600,635,-655,635,365,385,-400,385,550,585,-605,585,1605,SBD,1
Vinnie Miles,,M-EO,M,192.2,198,Multi-ply,525,-550,570,570,460,-505,-505,460,475,520,-550,520,1550,SBD,2
Matt Giesa,,M-EO,M,210.4,220,Multi-ply,-710,-710,-710,,-440,,,,-550,590,,,,SBD,DQ
William Cowen,,M-EO,M,238.2,242,Multi-ply,515,550,-575,550,375,400,-415,400,465,500,515,515,1465,SBD,1
Matt Brass,,M-EO,M,227.6,242,Multi-ply,500,565,-600,565,265,285,300,300,500,-550,-550,500,1365,SBD,2
Justin Graalfs,,M-EO,M,271.2,275,Multi-ply,-1000,1000,-1050,1000,675,-765,-765,675,-760,-760,760,760,2435,SBD,1
Pat Helber,,M-EO,M,252.2,275,Multi-ply,-835,835,905,905,580,610,640,640,630,660,-700,660,2205,SBD,2
Erik Johnsen,,M-EO,M,264.8,275,Multi-ply,-640,640,680,680,540,570,-600,570,530,570,600,600,1850,SBD,3
Cory Schutter,,M-EO,M,275.4,275,Multi-ply,-565,605,625,625,440,475,500,500,450,500,525,525,1650,SBD,4
Jo Jordan,,M-EO,M,258.2,275,Multi-ply,820,870,900,900,-605,-605,-605,,600,,,,,SBD,DQ
Marshall Johnson,,M-EO,M,282.8,308,Multi-ply,800,850,900,900,520,575,-610,575,720,775,-825,775,2250,SBD,1
Corey Miceli,,M-EO,M,304.4,308,Multi-ply,-865,,,,-535,,,,-775,,,,,SBD,DQ
Barzeen Vaziri,,M-EO,M,318.8,308+,Multi-ply,930,-1000,-1000,930,-710,-720,750,750,720,750,-755,750,2430,SBD,1
Chris Olson,,M-EO,M,318.8,308+,Multi-ply,685,-735,,685,505,550,570,570,-475,475,-495,475,1730,SBD,2
Jayson McNett,,M-EO,M,335,308+,Multi-ply,-1000,-1000,-1000,,705,,,,650,,,,,SBD,DQ
Karam Allame,,M-RT2,M,181.2,181,Wraps,355,400,-415,400,270,300,-315,300,375,400,425,425,1125,SBD,1
