Place,Name,Sex,Country,Equipment,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Points,BirthDate,BirthYear
16,Lorenz Huybrechts,M,BE,Raw,Open,76.2,83,120,-127.5,135,135,70,75,-82.5,75,160,175,-182.5,175,385,55.67
17,Patryk Mondre,M,POL,Raw,Open,81.9,83,130,140,-150,140,-75,75,80,80,150,160,165,165,385,53.66
1,Imad Hamich,M,BE,Raw,Open,91.9,93,242.5,255,-262.5,255,145,155,-160,155,-265,280,-290,280,690,90.79
2,reinout de saedeleer,M,BE,Raw,Open,92.4,93,225,230,235,235,140,142.5,145,145,245,255,260,260,640,83.99
3,Johan De Pauw,M,BE,Raw,Open,91.6,93,205,220,-225,220,145,155,-160,155,210,220,230,230,605,79.74
4,Michiel Heremans,M,BE,Raw,Open,92,93,190,197.5,205,205,-100,105,115,115,235,247.5,260,260,580,76.28
5,Maxime Collignon,M,BE,Raw,Open,86.8,93,175,185,190,190,130,137.5,-140,137.5,200,215,222.5,222.5,550,74.44
6,Tycho Dehouck,M,BE,Raw,Open,88.3,93,165,172.5,180,180,117.5,125,-130,125,215,230,240,240,545,73.14
7,Dries Vrancken,M,BE,Raw,Open,90.7,93,170,-185,-192.5,170,125,132.5,-140,132.5,210,225,235,235,537.5,71.18
8,sander Matton,M,BE,Raw,Open,89.3,93,-160,167.5,175,175,115,125,127.5,127.5,-212.5,220,230,230,532.5,71.07
9,Aaron Van den Berge,M,BE,Raw,Open,89,93,170,180,190,190,105,-112.5,-112.5,105,220,230,-240,230,525,70.18
10,Louis Casier,M,BE,Raw,Open,86.4,93,140,150,-160,150,-90,97.5,102.5,102.5,210,-230,230,230,482.5,65.46
11,Tom Vanhove,M,BE,Raw,Open,90.3,93,180,-190,-192.5,180,-95,97.5,102.5,102.5,175,187.5,200,200,482.5,64.04
12,Axel Faes,M,BE,Raw,Open,84.3,93,160,-167.5,-167.5,160,112.5,117.5,-125,117.5,180,190,-192.5,190,467.5,64.21
13,Randi Vertongen,M,BE,Raw,Open,86.8,93,140,-150,-150,140,120,130,-132.5,130,160,180,190,190,460,62.26
14,Wout Van Belle,M,BE,Raw,Open,89,93,147.5,157.5,170,170,95,-102.5,-102.5,95,175,187.5,-200,187.5,452.5,60.49
15,Lander Robben,M,BE,Raw,Open,88.6,93,112.5,120,-125,120,67.5,72.5,-75,72.5,142.5,152.5,162.5,162.5,355,47.56
16,jean-marc de ro,M,BE,Raw,Open,90.4,93,100,,,100,100,,,100,100,,,100,300,39.80
