Name,Sex,Equipment,BodyweightKg,WeightClassKg,BirthYear,Division,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event
Nico Vohsen,M,Raw,103.0,105,1997,Juniors,180.0,200.0,210.0,210.0,125.0,-137.5,142.5,142.5,210.0,227.5,237.5,237.5,590.0,3,SBD
Joshua Hillebrand,M,Raw,100.3,105,1998,Juniors,190.0,195.0,210.0,210.0,122.5,127.5,132.5,132.5,212.5,230.0,240.0,240.0,582.5,4,SBD
Kai Blumberg,M,Raw,99.1,105,1996,Juniors,150.0,175.0,202.5,202.5,97.5,105.0,112.5,112.5,200.0,225.0,250.0,250.0,565.0,5,SBD
Simon Suchan,M,Raw,102.1,105,2000,Juniors,180.0,190.0,200.0,200.0,125.0,132.5,-140.0,132.5,180.0,195.0,-207.5,195.0,527.5,6,SBD
Alexander Kukushkin,M,Raw,96.2,105,1997,Juniors,155.0,165.0,175.0,175.0,97.5,102.5,107.5,107.5,170.0,185.0,200.0,200.0,482.5,7,SBD
Christoph Stempel,M,Raw,104.0,105,1996,Juniors,137.5,150.0,160.0,160.0,97.5,105.0,-112.5,105.0,175.0,190.0,205.0,205.0,470.0,8,SBD
Fritz Krüttgen,M,Raw,98.8,105,1999,Juniors,192.5,205.0,212.5,212.5,127.5,135.0,137.5,137.5,197.5,210.0,220.0,220.0,570.0,G,SBD
Laurens Fischer,M,Raw,110.7,120,1996,Juniors,202.5,215.0,-225.0,215.0,-120.0,-125.0,127.5,127.5,245.0,265.0,-275.0,265.0,607.5,1,SBD
Yannik Russok,M,Raw,117.5,120,1996,Juniors,225.0,-240.0,-240.0,225.0,155.0,-157.5,,155.0,280.0,-295.0,-300.0,280.0,660.0,G,SBD
Alicia Boyce,F,Raw,55.6,57,1997,Juniors,95.0,105.0,-110.5,105.0,50.0,52.5,55.0,55.0,120.0,130.0,140.0,140.0,300.0,1,SBD
