Name,Sex,Division,Equipment,WeightClassKg,BodyweightKg,Age,Squat4Kg,Best3SquatKg,Bench4Kg,Best3BenchKg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Tested,Event,Place
Skip Sandberg,M,M_MEM_6_AAPF,Multi-ply,125,111.4,68,,215.0,,197.5,,227.5,640.00,Yes,SBD,1
Dennis Shock,M,M_MEM_5_AAPF,Multi-ply,125,116.6,61,220,215.0,,92.5,,182.5,490.00,Yes,SBD,1
David Edmondson,M,M_PFEM_AAPF,Multi-ply,75,67.6,47,,247.5,,122.5,231,230,600.00,Yes,SBD,1
David Edmondson,M,M_OEM_AAPF,Multi-ply,75,67.6,47,,247.5,,122.5,231,230,600.00,Yes,SBD,1
David Edmondson,M,M_PFEM_AAPF,Multi-ply,75,67.6,47,,247.5,,122.5,231,230,600.00,Yes,SBD,2
David Edmondson,M,M_MEM_2_AAPF,Multi-ply,75,67.6,47,,247.5,,122.5,231,230,600.00,Yes,SBD,2
Rudy Ruettiger,M,M_PFEM_AAPF,Multi-ply,82.5,81.6,54,,227.5,,175,,240,642.50,Yes,SBD,1
Rudy Ruettiger,M,M_MEM_3_AAPF,Multi-ply,82.5,81.6,54,,227.5,,175,,240,642.50,Yes,SBD,2
Scott Mecham,M,M_OEM_AAPF,Multi-ply,100,100,29,,,,275,,,275.00,Yes,B,1
Leo Warmsbecker,M,M_OEM_AAPF,Multi-ply,,,43,,,,,,,0.00,Yes,B,1
Donald McKinney,M,M_OEM_AAPF,Multi-ply,110,110,28,,,,190,,,190.00,Yes,B,1
Brian Longie,M,M_OEM_AAPF,Multi-ply,110,108.5,32,,,,152.5,,,152.50,Yes,B,3
Brent Monson,M,M_OEM_AAPF,Multi-ply,,,35,,,,,,,0.00,Yes,B,2
Dave Fortner,M,M_OEM_AAPF,Multi-ply,,,38,,,,,,,0.00,Yes,B,3
Tim Cowgar,M,M_OEM_AAPF,Multi-ply,,,42,,,,,,,0.00,Yes,B,4
Erik Belakton,M,M_OEM_AAPF,Multi-ply,,,26,,,,,,,0.00,Yes,B,5
Sava Basic,M,M_OEM_AAPF,Multi-ply,140,138.8,24,,,,220,,,220.00,Yes,B,1
Brad Tripp,M,M_OEM_AAPF,Multi-ply,140+,153.5,44,,,,290,,,290.00,Yes,B,1
Leo Warmsbecker,M,M_MEM_1_AAPF,Multi-ply,,,43,,,,,,,0.00,Yes,B,1
Tim Cowgar,M,M_MEM_1_AAPF,Multi-ply,,,42,,,,,,,0.00,Yes,B,2
Jody Anest,M,M_MEM_2_AAPF,Multi-ply,75,73.7,45,,,,167.5,,,167.50,Yes,B,1
Russ Bennett,M,M_MEM_2_AAPF,Multi-ply,140,130.1,46,,,,210,,,210.00,Yes,B,1
Doug Clayton,M,M_MEM_3_AAPF,Multi-ply,90,88.2,52,,,,177.5,,,177.50,Yes,B,1
Randy Marchant,M,M_MEM_4_AAPF,Multi-ply,100,96.8,57,,,,172.5,,,172.50,Yes,B,1
Douglas Ward,M,M_MEM_4_AAPF,Multi-ply,125,113.4,59,,,,152.5,,,152.50,Yes,B,3
Ken Tawzer,M,M_MEM_4_AAPF,Multi-ply,125,113.1,57,,,186,185,,,185.00,Yes,B,1
Skip Sandberg,M,M_MEM_6_AAPF,Multi-ply,125,111.4,68,,,,197.5,,,197.50,Yes,B,1
Jeffery Haiduke,M,M_PFEM_AAPF,Multi-ply,75,71.9,25,,,,192.5,,,192.50,Yes,B,1
Jeffery Haiduke,M,M_OEM_AAPF,Multi-ply,75,71.9,25,,,,192.5,,,192.50,Yes,B,1
Donald McKinney,M,M_PFEM_AAPF,Multi-ply,110,110,28,,,,190,,,190.00,Yes,B,1
Donald McKinney,M,M_OEM_AAPF,Multi-ply,110,110,28,,,,190,,,190.00,Yes,B,2
Sava Basic,M,M_PFEM_AAPF,Multi-ply,140,138.8,24,,,,220,,,220.00,Yes,B,1
Sava Basic,M,M_OEM_AAPF,Multi-ply,140,138.8,24,,,,220,,,220.00,Yes,B,2
Ken Tawzer,M,M_PFEM_AAPF,Multi-ply,125,113.1,52,,,186,185,,,185.00,Yes,B,1
Ken Tawzer,M,M_MEM_4_AAPF,Multi-ply,125,113.1,52,,,186,185,,,185.00,Yes,B,2
