Name,Sex,Event,Age,Division,WeightClassKg,Equipment,Best3BenchKg,Bench4Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Place
Ari Kaskela,M,D,40,MM1-R,100,Raw,,,281,,281,1
Teppo Koskinen,M,D,45,MM1-R,100,Raw,,,245,,245,2
Santeri Kilkki,M,D,41,MM1-R,100,Raw,,,225,,225,3
Sami Kostet,M,D,20,MJ-R	75,Raw,,,231,-235,231,1
Mikko Kuusinen,M,D,25,MJ-R,82.5,Raw,,,,,,DQ
Paulus Kivijärvi,M,D,25,MJ-R,90,Raw,,,252.5,,252.5,1
Topi Innanen,M,D,23,MJ-R,90,Raw,,,,,,DQ
Tomi Reijonen,M,D,13,MT3-R,67.5,Raw,,,105,115,105,1
Sami Kostet,M,D,20,MO-R,75,Raw,,,231,-235,231,1
Henri Vauto,M,D,31,MO-R,82.5,Raw,,,255,,255,1
Santeri Asikainen,M,D,27,MO-R,82.5,Raw,,,250,,250,2
Antero Kautonen	M,D,31,MO-R,82.5,Raw,,,210,,210,3
Mikael Kumlander,M,D,35,MO-R,90,Raw,,,285,,285,1
Teemu Hakala,M,D,28,MO-R,100,Raw,,,330,,330,1
Joni Kivelä,M,D,28,MO-R,100,Raw,,,325,,325,2
Anssi Juntunen,M,D,34,MO-R,100,Raw,,,320,,320,3
Topi Frifeldt,M,D,36,MO-R,100,Raw,,,260,,260,4
Henry Lehtola,M,D,36,MO-R,100,Raw,,,255,,255,5
Marko Kakkinen,M,D,38,MO-R,100,Raw,,,245,,245,6
Teppo Koskinen,M,D,45,MO-R,100,Raw,,,245,,245,7
Daniel Szasko,M,D,34,MO-R,100,Raw,,,240,,240,8
Jani Pekka Eirala,M,D,30,MO-R,110,Raw,,,355,,355,1
Olavi Rintanen,M,D,63,MO-R,110,Raw,,,300,,300,2
Eduard Khanjyan,M,D,32,MO-R,110,Raw,,,,,,DQ
Toni Kohonen,M,D,31,MO-R,117.5,Raw,,,290,,290,1
Samuli Kapanen,M,D,29,MO-R,117.5,Raw,,,230,,230,2
Sami Kankaanpää,M,D,30,MO-R,125,Raw,,,300,,300,1
Tero Manner,M,D,38,MO-R,125,Raw,,,232.5,,232.5,2
