Place,Name,Sex,Division,WeightClassKg,Equipment,BirthYear,BirthDate,State,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event
7,Diana F David,F,O,69,Raw,1997,,,67.95,105,-112.5,-112.5,105,47.5,-50,-50,47.5,120,125,-130,125,277.5,SBD
8,Juanna Andrea Escoton,F,O,69,Raw,2003,,,67.5,95,105,-115,105,35,-40,-40,35,110,-120,120,120,260,SBD
1,Micah Abando,F,O,76,Raw,1991,,,74.9,145,-155,-155,145,62.5,-65,-65,62.5,167.5,172.5,-180,172.5,380,SBD
2,Maria Michaela Mizal,F,O,76,Raw,1995,,,71.3,130,137.5,-142.5,137.5,60,65,70,70,140,150,-155,150,357.5,SBD
3,April Iris Williams,F,O,76,Raw,2007,,,74.8,122.5,-135,-140,122.5,60,65,-67.5,65,155,-170,-175,155,342.5,SBD
4,Patrizia Zaril Alberto,F,O,76,Raw,1994,,,74.95,120,125,-132.5,125,60,65,67.5,67.5,130,137.5,142.5,142.5,335,SBD
5,Mhisha Marie Cuyson,F,O,76,Raw,1993,,,71.4,85,92.5,95,95,47.5,52.5,-55.5,52.5,112.5,117.5,125,125,272.5,SBD
6,Mariel Badol,F,O,76,Raw,1998,,,72.2,-105,-105,107.5,107.5,45,-50,-50,45,105,107.5,110,110,262.5,SBD
1,Joyce Gail Reboton,F,O,84,Raw,1992,,,77.3,192.5,197.5,200.5,200.5,95,100.5,103,103,193,200.5,-206.5,200.5,504,SBD
2,Francis Nicole Figueroa,F,O,84,Raw,1995,,,80.75,145,150,155,155,65,72.5,77.5,77.5,180,190,206,206,438.5,SBD
3,Ada Christine Dela Cruz,F,O,84,Raw,1993,,,83.65,130,135,137.5,137.5,77.5,-80,-80,77.5,160,-165,-165,160,375,SBD
4,Clara Angelica Buenconsejo,F,O,84,Raw,1991,,,83.2,120,130,132.5,132.5,57.5,62.5,65,65,132.5,145,-150,145,342.5,SBD
1,Charlene Raye Tugade,F,O,84+,Raw,1998,,,86.35,150,-155,160,160,65,70,75,75,167.5,175,-180.5,175,410,SBD
2,Trina Krizelda Oandasan,F,O,84+,Raw,1997,,,100.2,152.5,162.5,167.5,167.5,60,-65,65,65,147.5,157.5,162.5,162.5,395,SBD
3,Maria Alyssa Chloe Mae Grant,F,O,84+,Raw,1996,,,90.5,115,120,130,130,60,62.5,-70,62.5,120,140,147.5,147.5,340,SBD
4,Joanne Christy Pichay,F,O,84+,Raw,,,,87.3,80,95,110,110,35,45,-50,45,120,135,137.5,137.5,292.5,SBD
1,Amber Villanueva,F,SJ,43,Raw,2009,,,43,45,-55,55,55,22.5,25,-27.5,25,60,70,-75,70,150,SBD
1,Nicolette Edna David,F,SJ,57,Raw,2005,,,55.15,70,-77.5,77.5,77.5,42.5,-47.5,-47.5,42.5,95,102.5,110,110,230,SBD
1,Sabina Mae Santos,F,SJ,76,Raw,1992,,,74.55,125,-132.5,-132.5,125,50,55,-57.5,55,137.5,147.5,-152.5,147.5,327.5,SBD
1,Arnold James Dela Cruz II,M,G,93,Raw,2003,,,88.3,157.5,162.5,167.5,167.5,105,110,115,115,192.5,-200,202.5,202.5,485,SBD
2,Lord Christopher Sr Manigque,M,G,83,Raw,1970,,,79.05,160,165,-170,165,80,85,90,90,200,205,-210,205,460,SBD
1,Daniel Bacdang,M,J,53,Raw,2001,,,51.4,145,-150,-150,145,-87.5,87.5,-90,87.5,170,185,-190,185,417.5,SBD
2,Lhanze Cedric Cortez,M,J,53,Raw,2002,,,51.25,105,112.5,-117.5,112.5,55,60,-65,60,130,135,-137.5,135,307.5,SBD
3,Cirilo III Dayao,M,J,53,Raw,2002,,,52.65,85,92.5,97.5,97.5,50,55,-60,55,110,120,-125,120,272.5,SBD
1,Kyle Jan Cumpio,M,J,59,Raw,2002,,,57.8,-190,190,-192.5,190,100,-105,,100,240,-247.5,-247.5,240,530,SBD
2,Antonio Baes,M,J,59,Raw,2003,,,58.45,132.5,142.5,147.5,147.5,107.5,115,-121,115,167.5,-180,180,180,442.5,SBD
3,John Casey Bandiola,M,J,59,Raw,2000,,,,-90,90,110,110,60,70,-77.5,70,100,110,122.5,122.5,302.5,SBD
1,Alexei Laurenz L Agabon,M,J,66,Raw,2003,,,60.45,180,190.5,200,200,107.5,115,-120,115,230,240,256,256,571,SBD
2,Maphi Daniel Polvora,M,J,66,Raw,2002,,,64.2,180,187.5,192.5,192.5,125,132.5,137.5,137.5,220,230,-240,230,560,SBD
3,Miles David Magtulis,M,J,66,Raw,2000,,,65.3,165,175,182.5,182.5,122.5,127.5,132.5,132.5,200,212.5,217.5,217.5,532.5,SBD
4,Jason Banzuela,M,J,66,Raw,2001,,,65.1,-160,160,-165,160,105,115,117.5,117.5,210,220,230,230,507.5,SBD
5,Francis Gabriel Hatulan,M,J,66,Raw,2000,,,64.4,175,-182.5,182.5,182.5,100,105,,105,205,212.5,217.5,217.5,505,SBD
6,Severino Gapusan,M,J,66,Raw,2000,,,66,165,175,185,185,-95,95,102.5,102.5,185,197.5,-210,197.5,485,SBD
7,Rayven Villasotes,M,J,66,Raw,2004,,,64.35,170,175,177.5,177.5,80,87.5,92.5,92.5,210,-220,-220,210,480,SBD
8,John Falcon Keoni Dylim,M,J,66,Raw,2004,,,64.25,-162.5,162.5,170,170,100,105,-110,105,185,192.5,202.5,202.5,477.5,SBD
9,Kevin Nicolas F Marquez,M,J,66,Raw,2002,,,65.45,-157.5,165,-170,165,102.5,107.5,-110,107.5,-180,180,190,190,462.5,SBD
10,Joaquin Buan,M,J,66,Raw,2004,,,62.9,162.5,172.5,175,175,80,85,87.5,87.5,185,195,-200,195,457.5,SBD
11,Allan Rey Rosco,M,J,66,Raw,2004,,,65.15,137.5,145,150,150,90,95,-97.5,95,182.5,195,210,210,455,SBD
12,Martin Flores,M,J,66,Raw,2000,,,62.8,145,147.5,155,155,92.5,97.5,-102.5,97.5,155,165,175,175,427.5,SBD
13,Juan Emmanuel Dizon,M,J,66,Raw,2002,,,63.75,-140,140,147.5,147.5,92.5,97.5,-100,97.5,-172.5,172.5,180,180,425,SBD
14,Michael Lawrence Homeres,M,J,66,Raw,2003,,,64.65,-130,135,-145,135,-95,-95,95,95,190,-205,-205,190,420,SBD
15,Wiljhan Pajulas,M,J,66,Raw,2002,,,63.25,135,140,145,145,75,77.5,-80,77.5,180,187.5,195,195,417.5,SBD
16,Vernard Agarpao,M,J,66,Raw,2004,,,64.95,120,130,135,135,67.5,70,75,75,165,172.5,-180,172.5,382.5,SBD
17,John Carlo Sison,M,J,66,Raw,2003,,,64.85,127.5,130,-142.5,130,65,-70,-72.5,65,165,175,-185,175,370,SBD
DQ,Anthony Bugante,M,J,66,Raw,2004,,,64.9,127.5,-137.5,140,140,77.5,-85,-85,77.5,-180,-187.5,-187.5,,,SBD
DQ,Vito Angeles,M,J,66,Raw,2003,,,,,,,,,,,,,,,,,SBD
1,Robert Diel Abdao,M,J,74,Raw,2000,,,72.85,205,215,217.5,217.5,120,125,127.5,127.5,235,245,255,255,600,SBD
2,Angelo Miguel Galon,M,J,74,Raw,2003,,,73.2,200,-210,215,215,125,135,-140,135,205,-220,225,225,575,SBD
3,Cristian Joy Aphrilis Salazar,M,J,74,Raw,2001,,,73.3,185,195,202.5,202.5,120,127.5,-130,127.5,215,227.5,-240,227.5,557.5,SBD
4,Christopher James Eden,M,J,74,Raw,2002,,,74,170,-180,-180,170,105,107.5,-110,107.5,210,220,230,230,507.5,SBD
5,Janssen Allen Rendon,M,J,74,Raw,2003,,,72.7,170,172.5,-185,172.5,100,-105,-105,100,195,197.5,-210,197.5,470,SBD
