Name,Sex,Division,WeightClassKg,BodyweightKg,BirthYear,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,Equipment
Helena Humphries,F,Open,63,63,1993,132.5,-140,-140,132.5,65,-70,-70,65,150,157.5,165,165,362.5,2,SBD,Raw
Wilfried Häusler,M,Master4,74,72.1,1942,110,120,130,130,75,85,,85,130,150,-160,150,365,1,SBD,Raw
Sandra Emonts,F,Open,63,62.45,1988,125,-132.5,-132.5,125,72.5,77.5,-80,77.5,155,165,170,170,372.5,1,SBD,Raw
Patricia Liebs,F,Open,72,70.85,1989,-140,-140,140,140,80,82.5,85,85,140,145,147.5,147.5,372.5,4,SBD,Raw
Sandra Beyer,F,Open,84,74.15,1988,127.5,-132.5,135,135,77.5,80,-82.5,80,162.5,-172.5,-175,162.5,377.5,2,SBD,Raw
Frank Wunderlich,M,Master2,66,64.8,1964,110,115,120,120,95,100,-102.5,100,160,170,-180.5,170,390,2,SBD,Raw
Bernhard Greindl,M,Master1,74,72.05,1969,125,-130,130,130,100,-107.5,107.5,107.5,155,160,-165,160,397.5,4,SBD,Raw
Robert Robeis,M,Master3,83,76.9,1958,110,-130,-130,110,80,-82.5,,80,160,190,210,210,400,2,SBD,Raw
Brita Dr. Fritsch,F,Master1,72,69.2,1973,140,-147.5,147.5,147.5,85,-90,-90,85,160,167.5,172.5,172.5,405,1,SBD,Raw
Frank Schoennerstedt,M,Master2,66,65.5,1966,140,150,-157.5,150,77.5,82.5,85,85,160,170,-180.5,170,405,1,SBD,Raw
Melanie Wirtz,F,Open,72,70.2,1997,127.5,135,140,140,80,82.5,85,85,162.5,175,185,185,410,3,SBD,Raw
Sonja Stefanie Krüger,F,Open,72,66.7,1999,-150,150,-155,150,92.5,-96,96,96,-162.5,162.5,167.5,167.5,413.5,2,SBD,Raw
Frederike Hoppe,F,Open,72,71.2,1984,137.5,145,150,150,90,95.5,98,98,160,172.5,180,180,428,1,SBD,Raw
Günter Lüdecke,M,Master4,93,85.3,1948,140,150,157.5,157.5,87.5,90,92.5,92.5,165,175,182.5,182.5,432.5,1,SBD,Raw
Daniel Reichel,M,Master1,105,97.75,1978,140,150,160,160,100,110,-115,110,140,155,165,165,435,6,SBD,Raw
Mariana Moreno Cederberg,F,Open,84+,97.9,1979,155,160,165,165,97.5,102.5,-105,102.5,170,177.5,182.5,182.5,450,1,SBD,Raw
Imad Jaru,M,Open,83,78.25,1995,145,-152.5,-152.5,145,100,105,-107.5,105,205,-212.5,-212.5,205,455,13,SBD,Raw
Alfons Mietz,M,Master4,105,103.9,1947,140,150,160,160,95,100,105,105,170,180,190,190,455,1,SBD,Raw
Steven Blank,M,Open,66,64.2,1990,125,140,150,150,100,110,-112.5,110,190,200,-205,200,460,3,SBD,Raw
Mike Künzling,M,Master2,83,80.7,1965,167.5,-175,-175,167.5,112.5,-120,,112.5,180,-190,,180,460,3,SBD,Raw
Arwin Joren Wienhold,M,Open,66,65.75,1991,137.5,145,147.5,147.5,95,100,105,105,192.5,202.5,210,210,462.5,2,SBD,Raw
Miguel Martins Dias,M,Open,74,73.05,1991,180,185,190,190,90,-95,-95,90,-185,185,-190,185,465,9,SBD,Raw
Akbar Azadidoust,M,Master1,74,71.95,1977,-140,140,150,150,110,120,130,130,160,175,185,185,465,3,SBD,Raw
Marcus Kaiser,M,Open,93,89.45,1990,165,-175,-175,165,122.5,-127.5,-127.5,122.5,170,180,-205,180,467.5,19,SBD,Raw
Sylvia Szarvas,F,Open,84,83.1,1984,157.5,165,170,170,120,125,-127.5,125,175,180,-185,180,475,1,SBD,Raw
Huu Phouc Le,M,Open,74,71.05,1993,152.5,162.5,170,170,107.5,115,120,120,172.5,185,-200,185,475,8,SBD,Raw
Jakob Kulling,M,Open,83,81.1,1990,147.5,157.5,165,165,100,105,-107.5,105,190,200,210,210,480,12,SBD,Raw
Sven Schöberlein,M,Master1,120+,149.25,1976,-170,170,185,185,125,132.5,-137.5,132.5,175,-185,-185,175,492.5,3,SBD,Raw
Dieter Hundertmark,M,Master3,83,81.75,1954,170,180,,180,110,115,120,120,180,190,200,200,500,1,SBD,Raw
Steffen Kinzel,M,Master1,105,96.9,1976,140,150,-160,150,135,-140,-140,135,200,220,-235,220,505,5,SBD,Raw
Lukas Markaschke,M,Open,74,73.3,1989,180,190,-200,190,90,100,-107.5,100,200,210,220,220,510,7,SBD,Raw
Aljoscha Subasinghe,M,Open,66,64.9,1990,170,180,185,185,120,125,-130,125,190,200,205,205,515,1,SBD,Raw
Marcus Siegmund,M,Open,74,71.65,1993,190,-200,-200,190,105,115,-120,115,210,-220,-220,210,515,6,SBD,Raw
Marvin Wollmann,M,Open,83,80.85,1989,175,190,-200,190,107.5,115,-117.5,115,200,215,-220,215,520,11,SBD,Raw
