Event,Sex,Division,WeightClassLBS,Equipment,Best3BenchLBS,Bench4LBS,Best3DeadliftLBS,Deadlift4LBS,TotalLBS,Name
BD,M,Teen Men 16-17,123,Single-ply,121.2,,264.5,,385.7,Julian Kong
BD,M,Teen Men 16-17,165,Single-ply,154.2,,336,,490.2,Jacob Chan
BD,M,Teen Men 16-17,181,Single-ply,407.7,,470.4,,878.4,Drayden-Steele Kawewehi
BD,M,Teen Men 16-17,181,Single-ply,325,,523.5,,848.5,Joshua Olivarez
BD,M,Teen Men 16-17,181,Single-ply,154.2,,374.7,,528.9,Pao-Heng Hsu
BD,M,Teen Men 16-17,220,Single-ply,165.2,,385.7,,550.9,Mario Adolfo Valdes-Hernandez
BD,M,Teen Men 18-19,148,Single-ply,192.7,,402.2,,594.9,Jun Yang
BD,M,Teen Men 18-19,165,Single-ply,165.2,,341.5,,506.7,Pengye Yang
BD,M,Teen Men 18-19,165,Single-ply,143.2,,275.5,,418.7,Shu Hashimoto
BD,M,Teen Men 18-19,165,Single-ply,,,518,,,Alex Kovatch
BD,M,Teen Men 18-19,242,Single-ply,391.2,,567.5,,958.7,Yudai Katsumata
B,M,Class 1 Men,165,Multi-ply,402.2,,,,402.2,Dinesh Mangra
B,M,Class 1 Men,165,Multi-ply,308.5,,,,308.5,Noah Andersen
B,M,Class 1 Men,165,Multi-ply,292,,,,292,Francisco Garcia
B,M,Class 1 Men,220,Multi-ply,308.5,,,,308.5,Eloy Ambriz
B,M,Disabled 2 Men 60,198,Multi-ply,189.4,190.5,,,189.4,Alfred Franke
B,M,Junior Men 20-25,242,Multi-ply,529,,,,529,Renan Moreno
B,M,Law-Fire 40-47 Men,220,Multi-ply,567.5,,,,567.5,Charles Farmer
B,M,Law-Fire 40-47 Men,308,Multi-ply,705.2,,,,705.2,Tommy Harrison
B,M,Law-Fire 48-55 Men,181,Multi-ply,358,,,,358,Michael Ioannou
B,M,Law-Fire 56-63 Men,198,Multi-ply,347,,,,347,William Denniston
B,M,Law-Fire 56-63 Men,308,Multi-ply,292,,,,292,Michal Johnson
B,M,Law-Fire 64 Men,132,Multi-ply,275.5,,,,275.5,Gary Miller
B,M,Law-Fire Open Men,308,Multi-ply,705.2,,,,705.2,Tommy Harrison
B,M,Master Men 40-46,275,Multi-ply,507,,,,507,Jani Ihalainen
B,M,Master Men 40-46,275,Multi-ply,451.7,,,,451.7,Harjit Kumar
B,M,Master Men 40-46,308,Multi-ply,600.7,,,,600.7,Jeremiah Johnson
B,M,Master Men 47-53,165,Multi-ply,314,,,,314,Keith Cunningham
B,M,Master Men 47-53,220,Multi-ply,352.5,,,,352.5,Marcelo Puga
B,M,Master Men 47-53,259,Multi-ply,501.5,,,,501.5,Nick Massey
B,M,Master Men 54-60,181,Multi-ply,358,,,,358,Michael Ioannou
B,M,Master Men 54-60,220,Multi-ply,485,,,,485,James Noblit
B,M,Master Men 54-60,259,Multi-ply,457.2,,,,457.2,Jim Presley
B,M,Master Men 54-60,309,Multi-ply,,,,,,Joe Mickelson
B,M,Master Men 61-67,132,Multi-ply,275.5,,,,275.5,Gary Miller
B,M,Master Men 61-67,148,Multi-ply,424.2,,,,424.2,Alfredo Evangelista
B,M,Master Men 61-67,198,Multi-ply,347,,,,347,William Denniston
B,M,Master Men 61-67,242,Multi-ply,176.2,,,,176.2,William B. Caughey
B,M,Master Men 68-74,165,Multi-ply,266.7,,,,266.7,Gary Witzel
B,M,Open Men,148,Multi-ply,424.2,,,,424.2,Alfredo Evangelista
B,M,Open Men,198,Multi-ply,617.2,,,,617.2,Simon Kankkonen
B,M,Open Men,220,Multi-ply,584,,,,584,Kalle Rasanen
B,M,Open Men,242,Multi-ply,529,,,,529,Renan Moreno
B,M,Open Men,259,Multi-ply,501.5,,,,501.5,Nick Massey
B,M,Open Men,259,Multi-ply,457.2,,,,457.2,Jim Presley
B,M,Open Men,275,Multi-ply,,,,,,Harjit Kumar
B,M,Open Men,275,Multi-ply,507,,,,507,Jani Ihalainen
B,M,Open Men,309,Multi-ply,,,,,,Joe Mickelson
B,M,Submaster Men 33-39,198,Multi-ply,391.2,,,,391.2,Jackson Jones
B,M,Submaster Men 33-39,275,Multi-ply,341.5,,,,341.5,Stephen Mace
B,M,Teen Men 16-17,165,Multi-ply,292,,,,292,Francisco Garcia
D,M,Class 1 Men,148,Multi-ply,,,402.2,,,Jeremiah Head
D,M,Class 1 Men,165,Multi-ply,,,457.2,462.7,,Francisco Garcia
D,M,Class 1 Men,220,Multi-ply,,,402.2,,,Eloy Ambriz
D,M,Disabled 2 Men 60,198,Multi-ply,,,250.2,251.3,,Alfred Franke
D,M,Law-Fire 40-47 Men,220,Multi-ply,,,633.7,,,Charles Farmer
D,M,Law-Fire 48-55 Men,198,Multi-ply,,,573,,,Dan Guches
D,M,Law-Fire 56-63 Men,181,Multi-ply,,,523.5,,,Charles Mc Farland
D,M,Law-Fire 56-63 Men,308,Multi-ply,,,469.3,,,Michal Johnson
D,M,Law-Fire 64 Men,132,Multi-ply,,,353.6,,,Gary Miller
D,M,Law-Fire Open Men,220,Multi-ply,,,308.5,,,Manny Burruel
D,M,Master Men 40-46,181,Multi-ply,,,573,,,Ben Dehghan
D,M,Master Men 40-46,275,Multi-ply,,,600.7,,,Jani Ihalainen
D,M,Master Men 40-46,308,Multi-ply,,,600.7,650.2,,Jeremiah Johnson
D,M,Master Men 47-53,165,Multi-ply,,,485,,,Keith Cunningham
D,M,Master Men 47-53,220,Multi-ply,,,501.5,,,Marcelo Puga
D,M,Master Men 47-53,259,Multi-ply,,,523.5,,,Nick Massey
D,M,Master Men 54-60,198,Multi-ply,,,573,,,Dan Guches
D,M,Master Men 54-60,220,Multi-ply,,,380.2,,,James Noblit
D,M,Master Men 54-60,259,Multi-ply,,,468.2,479.5,,Jim Presley
D,M,Master Men 54-60,309,Multi-ply,,,501.5,,,Joe Mickelson
D,M,Master Men 61-67,132,Multi-ply,,,353.6,,,Gary Miller
D,M,Master Men 61-67,148,Multi-ply,,,468.2,,,Alfredo Evangelista
D,M,Master Men 61-67,181,Multi-ply,,,523.5,,,Charles Mc Farland
D,M,Master Men 61-67,220,Multi-ply,,,308.5,314,,Manny Burruel
D,M,Master Men 61-67,242,Multi-ply,,,281,,,William B. Caughey
D,M,Master Men 68-74,165,Multi-ply,,,314,,,Gary Witzel
D,M,Open Men,148,Multi-ply,,,468.2,,,Alfredo Evangelista
D,M,Open Men,220,Multi-ply,,,749.5,,,Kalle Rasanen
D,M,Open Men,259,Multi-ply,,,523.5,,,Nick Massey
D,M,Open Men,259,Multi-ply,,,468.2,479.5,,Jim Presley
D,M,Open Men,275,Multi-ply,,,600.7,,,Jani Ihalainen
D,M,Open Men,309,Multi-ply,,,501.5,,,Joe Mickelson
D,M,Submaster Men 33-39,275,Multi-ply,,,600.7,,,Stephen Mace
D,M,Teen Men 16-17,148,Multi-ply,,,402.2,,,Jeremiah Head
D,M,Teen Men 16-17,165,Multi-ply,,,457.2,,,Francisco Garcia
BD,M,Law-Fire 40-47 Men,220,Multi-ply,567.5,,633.7,,1201.2,Charles Farmer
BD,M,Law-Fire 64 Men,132,Multi-ply,275.5,,353.6,,629.1,Gary Miller
BD,M,Master Men 40-46,275,Multi-ply,507,,600.7,,1107.7,Jani Ihalainen
BD,M,Master Men 40-46,308,Multi-ply,600.7,,600.7,,1201.4,Jeremiah Johnson
BD,M,Master Men 47-53,165,Multi-ply,314,,485,,799,Keith Cunningham
BD,M,Master Men 47-53,220,Multi-ply,352.5,,501.5,,854,Marcelo Puga
BD,M,Master Men 47-53,259,Multi-ply,501.5,,523.5,,1025,Nick Massey
BD,M,Master Men 54-60,220,Multi-ply,485,,380.2,,865.2,James Noblit
BD,M,Master Men 54-60,259,Multi-ply,457.2,,468.2,,925.4,Jim Presley
BD,M,Master Men 54-60,Super,Multi-ply,,,501.5,,,Joe Mickelson
BD,M,Master Men 61-67,132,Multi-ply,275.5,,353.6,,629.1,Gary Miller
BD,M,Master Men 61-67,148,Multi-ply,424.2,,468.2,,892.4,Alfredo Evangelista
BD,M,Master Men 61-67,242,Multi-ply,176.2,,281,,457.2,William B. Caughey
BD,M,Master Men 68-74,165,Multi-ply,266.7,,314,,580.7,Gary Witzel
BD,M,Open Men,148,Multi-ply,424.2,,468.2,,892.4,Alfredo Evangelista
BD,M,Open Men,220,Multi-ply,584,,749.5,,1333.5,Kalle Rasanen
BD,M,Open Men,259,Multi-ply,457.2,,468.2,,925.4,Jim Presley
BD,M,Open Men,259,Multi-ply,501.5,,523.5,,1025,Nick Massey
BD,M,Open Men,275,Multi-ply,507,,600.7,,1107.7,Jani Ihalainen
BD,M,Open Men,Super,Multi-ply,,,501.5,,,Joe Mickelson
BD,M,Submaster Men 33-39,275,Multi-ply,341.5,,600.7,,942.2,Stephen Mace
B,M,Class 1 Men,165,Raw,236.7,,,,236.7,Kwame Pollard
B,M,Class 1 Men,181,Raw,275.5,,,,275.5,Matt Hanlon
B,M,Class 1 Men,181,Raw,253.5,,,,253.5,Tanner Bogart
B,M,Class 1 Men,220,Raw,275.5,,,,275.5,Zach Harris
B,M,Class 1 Men,220,Raw,242.5,,,,242.5,Jorge Sierra
B,M,Class 1 Men,220,Raw,325,,,,325,Joseph Karamatic
B,M,Class 1 Men,220,Raw,314,,,,314,Sam Devedjian
B,M,Class 1 Men,259,Raw,501.5,,,,501.5,Bruce Mamea
B,M,Class 1 Men,259,Raw,330.5,,,,330.5,Jesse Migliori
B,M,Class 1 Men,259,Raw,325,,,,325,Isaac Conde
B,M,Class 1 Men,259,Raw,253.5,,,,253.5,Billy Caughey
B,M,Class 1 Men,275,Raw,402.2,,,,402.2,Desmond Coleman
B,M,Class 1 Men,275,Raw,440.7,,,,440.7,Chase Ulrick
B,M,Disabled 1 Men 13-19,148,Raw,137.7,,,,137.7,Clarence Kehres
B,M,Disabled 1 Men 20-39,220,Raw,369.2,,,,369.2,Benjamin Bleskin
B,M,Disabled 1 Men 40-59,220,Raw,,,,,,Seth Reardon
B,M,Disabled 2 Men 40-59,181,Raw,264.5,,,,264.5,Vilmar Oliveira
B,M,Junior Men 20-25,132,Raw,236.7,,,,236.7,Fabriano Mariscal
B,M,Junior Men 20-25,165,Raw,275.5,,,,275.5,Ezequiel De Simone
B,M,Junior Men 20-25,181,Raw,308.5,,,,308.5,Patrick Keogh
B,M,Junior Men 20-25,181,Raw,259,,,,259,Steven Bassetti
B,M,Junior Men 20-25,181,Raw,242.5,,,,242.5,Brett Robinson
B,M,Junior Men 20-25,181,Raw,236.7,,,,236.7,James King
B,M,Junior Men 20-25,181,Raw,210.3,,,,210.3,Braden Jensen
B,M,Junior Men 20-25,198,Raw,374.7,,,,374.7,Kyle Francescatti
B,M,Junior Men 20-25,198,Raw,330.5,,,,330.5,Johnny De Leon
B,M,Junior Men 20-25,198,Raw,242.5,,,,242.5,Cody Mondeau
B,M,Junior Men 20-25,220,Raw,331.4,,,,331.4,Joseph Karamatic
B,M,Junior Men 20-25,242,Raw,308.5,,,,308.5,Mitch Bellon
B,M,Junior Men 20-25,275,Raw,380.2,,,,380.2,Oscar Rivero
B,M,Junior Men 20-25,308,Raw,485,,,,485,Walter Kupihe
B,M,Junior Men 20-25,309,Raw,319.5,,,,319.5,Donald Loew
B,M,Law-Fire 40-47 Men,198,Raw,363.7,,,,363.7,Jason Smith
B,M,Law-Fire 40-47 Men,220,Raw,325,,,,325,Nick Berriman
B,M,Law-Fire 40-47 Men,220,Raw,276.6,,,,276.6,David Chadwick
B,M,Law-Fire 40-47 Men,259,Raw,402.2,,,,402.2,Flip Silva
B,M,Law-Fire 48-55 Men,242,Raw,330.5,,,,330.5,Amado Monzon
B,M,Law-Fire 48-55 Men,275,Raw,,,,,,Eric Jones
B,M,Law-Fire 56-63 Men,259,Raw,303,,,,303,Donald Bryant
B,M,Law-Fire Open Men,259,Raw,402.2,,,,402.2,Flip Silva
B,M,Master Men 40-46,165,Raw,330.5,,,,330.5,David R. Smith
B,M,Master Men 40-46,181,Raw,374.7,,,,374.7,Chad Medina
B,M,Master Men 40-46,220,Raw,479.5,,,,479.5,James Kelly
B,M,Master Men 40-46,220,Raw,380.2,,,,380.2,Byron Fletcher
B,M,Master Men 40-46,220,Raw,363.7,,,,363.7,Chris Bohenek
B,M,Master Men 40-46,242,Raw,385.7,,,,385.7,Kim Paivoke
B,M,Master Men 40-46,309,Raw,485,,,,485,Ricardo Nort
B,M,Master Men 47-53,132,Raw,115.5,,,,115.5,Gustavo Almada
B,M,Master Men 47-53,181,Raw,341.5,,,,341.5,Jon Cunningham
B,M,Master Men 47-53,198,Raw,402.2,,,,402.2,Louie Mansanas
B,M,Master Men 47-53,198,Raw,363.7,,,,363.7,Jason Smith
B,M,Master Men 47-53,198,Raw,336,,,,336,Chris Hatley
B,M,Master Men 47-53,198,Raw,270,,,,270,Carlos Martinez
B,M,Master Men 47-53,220,Raw,501.5,,,,501.5,James Hunter
B,M,Master Men 47-53,242,Raw,396.7,,,,396.7,Marcelo Schneider
B,M,Master Men 47-53,309,Raw,479.5,,,,479.5,De Witt Martin
B,M,Master Men 54-60,165,Raw,242.5,,,,242.5,Nino Domingo
B,M,Master Men 54-60,165,Raw,220.2,,,,220.2,Brian Thomas
B,M,Master Men 54-60,181,Raw,286.5,,,,286.5,Joel Korotkin
B,M,Master Men 54-60,220,Raw,225.7,,,,225.7,Eugene Merrill
B,M,Master Men 54-60,242,Raw,314,,,,314,James Murphy
B,M,Master Men 54-60,275,Raw,402.2,,,,402.2,Nick Frazzetta
B,M,Master Men 54-60,275,Raw,396.7,,,,396.7,Eric Jones
B,M,Master Men 61-67,181,Raw,286.5,,,,286.5,Ed Regwa
B,M,Master Men 61-67,259,Raw,221.3,,,,221.3,Tom Matlock
B,M,Master Men 61-67,275,Raw,292,,,,292,Tom Morgan
B,M,Master Men 61-67,275,Raw,435.2,,,,435.2,Forest Hofer
B,M,Master Men 68-74,181,Raw,204.8,,,,204.8,Bob Hochstein
B,M,Master Men 68-74,181,Raw,192.7,,,,192.7,Tom Haggenmiller
B,M,Master Men 68-74,242,Raw,308.5,,,,308.5,Daniel Smith III
B,M,Master Men 75-79,181,Raw,192.7,,,,192.7,Mike Haigwood
B,M,Master Men 75-79,181,Raw,253.5,,,,253.5,Ed Angstrom
B,M,Master Men 75-79,198,Raw,214.7,,,,214.7,Arnold Pereza
B,M,Master Men 80-84,165,Raw,148.7,,,,148.7,Charles Vause
B,M,Master Men 80-84,198,Raw,170.7,,,,170.7,Joseph Di Gregorio
B,M,Master Men 80-84,220,Raw,270,,,,270,Johnny Yong
B,M,Master Men 85-89,181,Raw,138.8,,,,138.8,Cleophus Scrutchions
B,M,Master Men 90,181,Raw,99,,,,99,Rodney Graves
B,M,Open Men,165,Raw,275.5,,,,275.5,Justin Rhoads
B,M,Open Men,165,Raw,275.5,,,,275.5,Ezequiel De Simone
B,M,Open Men,165,Raw,242.5,,,,242.5,Karter Brachear
B,M,Open Men,165,Raw,236.7,,,,236.7,Kwame Pollard
B,M,Open Men,198,Raw,435.2,,,,435.2,Jermaine Lyles
B,M,Open Men,198,Raw,402.2,,,,402.2,Cody Coffey
B,M,Open Men,198,Raw,380.2,,,,380.2,Max Panziera
B,M,Open Men,198,Raw,374.7,,,,374.7,Kyle Francescatti
B,M,Open Men,198,Raw,352.5,,,,352.5,Charlen Luz
B,M,Open Men,198,Raw,314,,,,314,Joshep Nacarro Faraud
B,M,Open Men,220,Raw,501.5,,,,501.5,James Hunter
B,M,Open Men,220,Raw,479.5,,,,479.5,James Kelly
B,M,Open Men,220,Raw,424.7,,,,424.7,Sami Harju
B,M,Open Men,220,Raw,385.7,,,,385.7,Cephas Mctizic
B,M,Open Men,220,Raw,380.2,,,,380.2,Byron Fletcher
B,M,Open Men,220,Raw,363.7,,,,363.7,Chris Bohenek
B,M,Open Men,220,Raw,352.5,,,,352.5,Bill Corbin
B,M,Open Men,220,Raw,308.5,,,,308.5,Daniel Miller
B,M,Open Men,242,Raw,473.7,,,,473.7,Scotty Clark
B,M,Open Men,242,Raw,396.7,,,,396.7,Marcelo Schneider
B,M,Open Men,242,Raw,385.7,,,,385.7,Kim Paivoke
B,M,Open Men,242,Raw,380.2,,,,380.2,Donovan Ballo
B,M,Open Men,242,Raw,308.5,,,,308.5,Makila Antero
B,M,Open Men,259,Raw,462.7,,,,462.7,Calvin Wren
B,M,Open Men,275,Raw,435.2,,,,435.2,Forest Hofer
B,M,Open Men,275,Raw,380.2,,,,380.2,Oscar Rivero
B,M,Open Men,309,Raw,485,,,,485,Ricardo Nort
B,M,Submaster Men 33-39,181,Raw,276.6,,,,276.6,Humberto Rodriguez
B,M,Submaster Men 33-39,198,Raw,,,,,,Jack Rogers
B,M,Submaster Men 33-39,198,Raw,435.2,,,,435.2,Jermaine Lyles
B,M,Submaster Men 33-39,198,Raw,352.5,,,,352.5,Charlen Luz
B,M,Submaster Men 33-39,220,Raw,,,,,,Atte Poikonen
B,M,Submaster Men 33-39,220,Raw,473.7,,,,473.7,Percy Colvin
B,M,Submaster Men 33-39,220,Raw,352.5,,,,352.5,Mariano Miravalles
B,M,Submaster Men 33-39,242,Raw,473.7,,,,473.7,Scotty Clark
B,M,Submaster Men 33-39,242,Raw,308.5,,,,308.5,Makila Antero
B,M,Submaster Men 33-39,259,Raw,501.5,,,,501.5,Bruce Mamea
B,M,Submaster Men 33-39,259,Raw,462.7,,,,462.7,Calvin Wren
B,M,Submaster Men 33-39,308,Raw,534.5,,,,534.5,Mike Mc Elroy
B,M,Submaster Men 33-39,309,Raw,424.2,,,,424.2,Sean Powell
B,M,Teen Men 12-13,105,Raw,60.5,,,,60.5,Colby Helms
B,M,Teen Men 12-13,181,Raw,110,,,,110,Will Bishop
B,M,Teen Men 12-13,275,Raw,159.7,,,,159.7,Robert Vick Jr.
B,M,Teen Men 12-13,97,Raw,60.5,,,,60.5,Billy Farmer
B,M,Teen Men 14-15,132,Raw,154.2,,,,154.2,Rafael Cora
B,M,Teen Men 14-15,148,Raw,214.7,,,,214.7,Kaison Uehara
B,M,Teen Men 14-15,148,Raw,165.2,,,,165.2,Tristan Lin
B,M,Teen Men 14-15,198,Raw,143.2,,,,143.2,Armani Katzman
B,M,Teen Men 14-15,97,Raw,71.5,,,,71.5,Kurt Schindele
B,M,Teen Men 16-17,123,Raw,110,,,,110,Tyler Farmer
B,M,Teen Men 16-17,165,Raw,264.5,,,,264.5,Lexington Young
B,M,Teen Men 16-17,220,Raw,308.5,,,,308.5,Dahlton Franco
B,M,Teen Men 18-19,165,Raw,242.5,,,,242.5,Karter Brachear
B,M,Teen Men 18-19,165,Raw,214.7,,,,214.7,Brandon Manteca
B,M,Teen Men 18-19,198,Raw,385.7,,,,385.7,Jamison Faith
B,M,Teen Men 18-19,242,Raw,319.5,,,,319.5,Marcos Garza
B,M,Teen Men 18-19,259,Raw,270,,,,270,Jarome Torres
D,M,Class 1 Men,165,Raw,,,396.7,,396.7,Kwame Pollard
D,M,Class 1 Men,181,Raw,,,462.7,,462.7,Leon De Leon
D,M,Class 1 Men,181,Raw,,,462.7,,462.7,Matteo Novelo
D,M,Class 1 Men,181,Raw,,,551,,551,Matt Hanlon
D,M,Class 1 Men,220,Raw,,,479.5,,479.5,Joseph Karamatic
D,M,Class 1 Men,220,Raw,,,501.5,,501.5,Jorge Sierra
D,M,Class 1 Men,220,Raw,,,611.7,,611.7,Drake Kuehn
D,M,Class 1 Men,220,Raw,,,479.5,,479.5,Zach Harris
D,M,Class 1 Men,259,Raw,,,512.5,,512.5,Billy Caughey
D,M,Class 1 Men,275,Raw,,,628.2,,628.2,Chase Ulrick
D,M,Class 1 Men,275,Raw,,,628.2,,628.2,Desmond Coleman
D,M,Class 1 Men,308,Raw,,,628.2,,628.2,Jason Sacre
D,M,Disabled 1 Men 13-19,148,Raw,,,275.5,,275.5,Clarence Kehres
D,M,Junior Men 20-25,132,Raw,,,424.2,,424.2,Fabriano Mariscal
D,M,Junior Men 20-25,165,Raw,,,429.7,,429.7,Rahfee Washington
D,M,Junior Men 20-25,165,Raw,,,496,,496,Ezequiel De Simone
D,M,Junior Men 20-25,181,Raw,,,446.2,,446.2,Brett Robinson
D,M,Junior Men 20-25,181,Raw,,,462.7,,462.7,Steven Bassetti
D,M,Junior Men 20-25,181,Raw,,,463.8,,463.8,Braden Jensen
D,M,Junior Men 20-25,181,Raw,,,523.5,,523.5,Patrick Keogh
D,M,Junior Men 20-25,198,Raw,,,473.7,,473.7,Cody Mondeau
D,M,Junior Men 20-25,198,Raw,,,523.5,,523.5,Johnny De Leon
D,M,Junior Men 20-25,198,Raw,,,567.5,,567.5,Kyle Francescatti
D,M,Junior Men 20-25,220,Raw,,,496,,496,Sam Devedjian
D,M,Junior Men 20-25,220,Raw,,,479.5,,479.5,Joseph Karamatic
D,M,Junior Men 20-25,242,Raw,,,540,,540,Mitch Bellon
D,M,Junior Men 20-25,275,Raw,,,551,573,551,Oscar Rivero
D,M,Junior Men 20-25,308,Raw,,,628.2,,628.2,Walter Kupihe
D,M,Junior Men 20-25,309,Raw,,,,,,Donald Loew
D,M,Law-Fire 40-47 Men,198,Raw,,,584,,584,Jason Smith
D,M,Law-Fire 40-47 Men,220,Raw,,,402.2,,402.2,David Chadwick
D,M,Law-Fire 40-47 Men,220,Raw,,,462.7,,462.7,Nick Berriman
D,M,Law-Fire 40-47 Men,259,Raw,,,540,,540,Flip Silva
D,M,Law-Fire Open Men,259,Raw,,,540,,540,Flip Silva
D,M,Master Men 40-46,181,Raw,,,523.5,,523.5,Chad Medina
D,M,Master Men 40-46,181,Raw,,,,,,Shawn Oliphant
D,M,Master Men 40-46,220,Raw,,,518,,518,Chris Bohenek
D,M,Master Men 40-46,220,Raw,,,562,,562,Byron Fletcher
D,M,Master Men 40-46,242,Raw,,,473.7,,473.7,Kim Paivoke
D,M,Master Men 40-46,308,Raw,,,628.2,,628.2,Jason Sacre
D,M,Master Men 47-53,132,Raw,,,264.5,270,264.5,Gustavo Almada
D,M,Master Men 47-53,132,Raw,,,264.5,270,264.5,Gustavo Almada
D,M,Master Men 47-53,148,Raw,,,385.7,,385.7,James Needles
D,M,Master Men 47-53,181,Raw,,,435.2,,435.2,Jon Cunningham
D,M,Master Men 47-53,181,Raw,,,534.5,,534.5,Marchand Fleming
D,M,Master Men 47-53,198,Raw,,,325,,325,Nabeel Bahu
D,M,Master Men 47-53,198,Raw,,,424.2,,424.2,Chris Hatley
D,M,Master Men 47-53,198,Raw,,,502.6,,502.6,Carlos Martinez
D,M,Master Men 47-53,198,Raw,,,584,,584,Jason Smith
D,M,Master Men 47-53,242,Raw,,,573,,573,Marcelo Schneider
D,M,Master Men 47-53,242,Raw,,,573,,573,Matt Maini
D,M,Master Men 47-53,275,Raw,,,529,,529,Silvio Braga
D,M,Master Men 47-53,309,Raw,,,573,,573,Scott Wesley Jordan
D,M,Master Men 47-53,309,Raw,,,595,,595,De Witt Martin
D,M,Master Men 54-60,165,Raw,,,418.7,,418.7,David Felton
D,M,Master Men 54-60,181,Raw,,,501.5,,501.5,Anthony Williams
D,M,Master Men 54-60,220,Raw,,,418.7,,418.7,Eugene Merrill
D,M,Master Men 54-60,220,Raw,,,512.5,,512.5,Mitch Edelstein
D,M,Master Men 54-60,242,Raw,,,468.2,,468.2,James Murphy
D,M,Master Men 54-60,275,Raw,,,589.5,,589.5,Nick Frazzetta
D,M,Master Men 61-67,181,Raw,,,413.2,,413.2,Ed Regwa
D,M,Master Men 61-67,242,Raw,,,352.5,,352.5,Tom Gonnering
D,M,Master Men 61-67,259,Raw,,,440.7,,440.7,Tom Matlock
D,M,Master Men 61-67,275,Raw,,,462.7,,462.7,Tom Morgan
D,M,Master Men 68-74,181,Raw,,,380.2,,380.2,Andrew Christo
D,M,Master Men 68-74,181,Raw,,,374.7,,374.7,Tom Haggenmiller
D,M,Master Men 68-74,198,Raw,,,562,,562,Jerry Shetka
D,M,Master Men 75-79,132,Raw,,,203.7,,203.7,Eugene Kawamata
D,M,Master Men 75-79,181,Raw,,,242.5,,242.5,Mike Haigwood
D,M,Master Men 85-89,181,Raw,,,203.7,,203.7,Cleophus Scrutchions
D,M,Master Men 90,181,Raw,,,,,,Rodney Graves
D,M,Open Men,165,Raw,,,540,,540,Justin Rhoads
D,M,Open Men,165,Raw,,,496,,496,Ezequiel De Simone
D,M,Open Men,165,Raw,,,485,,485,Karter Brachear
D,M,Open Men,165,Raw,,,418.7,,418.7,David Felton
D,M,Open Men,165,Raw,,,396.7,,396.7,Kwame Pollard
D,M,Open Men,181,Raw,,,451.7,,451.7,Erick Gonzalez
D,M,Open Men,198,Raw,,,639.2,,639.2,Mikko Kopreinen
D,M,Open Men,198,Raw,,,567.5,,567.5,Max Panziera
D,M,Open Men,198,Raw,,,567.5,,567.5,Kyle Francescatti
D,M,Open Men,198,Raw,,,540,,540,Cody Coffey
D,M,Open Men,198,Raw,,,462.7,,462.7,Charlen Luz
D,M,Open Men,220,Raw,,,694.2,,694.2,Joni Kivela
D,M,Open Men,220,Raw,,,666.7,,666.7,Cephas Mctizic
D,M,Open Men,220,Raw,,,562,,562,Bill Corbin
D,M,Open Men,220,Raw,,,562,,562,Byron Fletcher
D,M,Open Men,220,Raw,,,518,,518,Chris Bohenek
D,M,Open Men,242,Raw,,,600.7,,600.7,Donovan Ballo
D,M,Open Men,242,Raw,,,573,,573,Marcelo Schneider
D,M,Open Men,242,Raw,,,562,,562,Seppo Juntilla
D,M,Open Men,242,Raw,,,473.7,,473.7,Kim Paivoke
D,M,Open Men,242,Raw,,,507,,507,Makila Antero
D,M,Open Men,275,Raw,,,628.2,,628.2,Desmond Coleman
D,M,Open Men,275,Raw,,,551,,551,Oscar Rivero
D,M,Open Men,275,Raw,,,529,,529,Silvio Braga
D,M,Open Men,309,Raw,,,573,,573,Scott Wesley Jordan
D,M,Submaster Men 33-39,181,Raw,,,431.9,,431.9,Humberto Rodriguez
D,M,Submaster Men 33-39,198,Raw,,,639.2,,639.2,Mikko Kopreinen
D,M,Submaster Men 33-39,198,Raw,,,457.2,,457.2,Jack Rogers
D,M,Submaster Men 33-39,198,Raw,,,462.7,,462.7,Charlen Luz
D,M,Submaster Men 33-39,220,Raw,,,595,,595,Mariano Miravalles
D,M,Submaster Men 33-39,220,Raw,,,551,,551,Percy Colvin
D,M,Submaster Men 33-39,242,Raw,,,507,,507,Makila Antero
D,M,Submaster Men 33-39,309,Raw,,,424.2,,424.2,Sean Powell
D,M,Teen Men 12-13,105,Raw,,,187.2,,187.2,Colby Helms
D,M,Teen Men 12-13,181,Raw,,,203.7,,203.7,Will Bishop
D,M,Teen Men 12-13,275,Raw,,,,,,Robert Vick Jr.
D,M,Teen Men 12-13,97,Raw,,,154.2,,154.2,Billy Farmer
D,M,Teen Men 14-15,132,Raw,,,319.5,330.5,319.5,Rafael Cora
D,M,Teen Men 14-15,148,Raw,,,418.7,,418.7,Kaison Uehara
D,M,Teen Men 14-15,148,Raw,,,369.2,,369.2,Tristan Lin
D,M,Teen Men 14-15,198,Raw,,,385.7,,385.7,Armani Katzman
D,M,Teen Men 14-15,97,Raw,,,187.2,,187.2,Kurt Schindele
D,M,Teen Men 16-17,123,Raw,,,242.5,,242.5,Tyler Farmer
D,M,Teen Men 16-17,165,Raw,,,424.2,,424.2,Lexington Young
D,M,Teen Men 18-19,165,Raw,,,485,,485,Karter Brachear
D,M,Teen Men 18-19,165,Raw,,,330.5,,330.5,Brandon Manteca
D,M,Teen Men 18-19,198,Raw,,,501.5,,501.5,Jamison Faith
D,M,Teen Men 18-19,259,Raw,,,462.7,,462.7,Jarome Torres
BD,M,Class 1 Men,181,Raw,275.5,,551,,826.5,Matt Hanlon
