Place,Event,Name,BodyweightKg,WeightClassKg,Sex,Division,Equipment,Age,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg
1,B,Elisa Koikkalainen,56,56,F,Teen 17-19,Raw,19,65,-70,70,-78,70,,,,,,70
2,B,Maria Tuomi,53.9,56,F,Teen 17-19,Raw,19,37.5,-40,-40,,37.5,,,,,,37.5
1,B,Ada Ritamki,69.3,75,F,Teen 13-15,Raw,15,35,40,-42.5,,40,,,,,,40
1,D,Marianne Kosonen,54.9,56,F,Open,Multi-ply,26,,,,,,190,200,210,,210,210
1,D,Anna-Maija Kosonen,67.5,67.5,F,Open,Multi-ply,29,,,,,,195,205,-215,-215,205,205
1,D,Julia Vins,65.4,67.5,F,Juniors 20-23,Multi-ply,23,,,,,,185,192.5,-200,-200,192.5,192.5
1,D,Amanda Wentjrvi,71.8,75,F,Juniors 20-23,Multi-ply,20,,,,,,130,142.5,-155,,142.5,142.5
1,D,Pinja Rajala,62.4,67.5,F,Teen 13-15,Multi-ply,15,,,,,,100,107.5,112.5,,112.5,112.5
1,D,Pentti Nestori Piri,78.5,82.5,M,Masters 90-94,Raw,92,,,,,,50,60,-70,,60,60
1,D,Nicky Norris,78.3,82.5,M,Open,Multi-ply,30,,,,,,250,267.5,275,,275,275
1,D,Kalle Rsnen,90,90,M,Open,Multi-ply,28,,,,,,350,370,-375,,370,370
1,D,Oskari Lehtinen,100,100,M,Open,Multi-ply,30,,,,,,310,337.5,345,-355.5,345,345
2,D,Teemu Leppnen,99.8,100,M,Open,Multi-ply,26,,,,,,330,-355,-355,,330,330
3,D,Tomi Reponen,98.3,100,M,Open,Multi-ply,42,,,,,,290,-310,-310,,290,290
DQ,D,Jukka Matikainen,94.4,100,M,Open,Multi-ply,25,,,,,,-300,-310,-315,,,
1,D,Dennis Riihimki,109.7,110,M,Open,Multi-ply,35,,,,,,330,345,355,,355,355
2,D,Pekka Rih,105.9,110,M,Open,Multi-ply,37,,,,,,290,310,325,,325,325
1,D,Joni Nikkari,123.3,125,M,Open,Multi-ply,37,,,,,,310,335,,,335,335
1,D,Matti Lehto,130.9,140,M,Open,Multi-ply,36,,,,,,315,350,,,350,350
1,D,Tomi Reponen,98.3,100,M,Masters 40-44,Multi-ply,42,,,,,,290,-310,-310,,290,290
1,D,Jarkko Forss,82.4,82.5,M,Juniors 20-23,Multi-ply,23,,,,,,290,-310,-310,,290,290
1,D,Vilho Laaksonen,66.4,67.5,M,Juniors 20-23,Raw,20,,,,,,175,-185,185,,185,185
1,D,Kalle-Ville Korhonen,99.1,100,M,Masters 60-64,Raw,64,,,,,,180,190,200,,200,200
